Id;Label;Degree;PageRank;Betweenness;Community
1;blood;408;0.011048045377340693;2.2592544339799923e+30;0
2;therapeutic corticosteroid;166;0.005020223978312719;0.21627942820314297;4
3;survival;334;0.009145434408512015;0.6243020156064835;4
4;sars coronavirus;442;0.011862340239535375;139.32932386636136;0
5;animal;203;0.005917962686873738;1.678173036547799e+31;1
6;troponin t, cardiac muscle;77;0.002852825302989654;0.014649851315200387;4
7;acute lung injury;319;0.00878189098263643;1.7213032357648608e+34;0
8;mouse;369;0.010037357768043742;329850686.16657436;2
9;lymphocyte;198;0.006011604987415531;34457238333.11677;4
10;islet of langerhans;131;0.004172277016111812;5174966172204.2295;4
11;acute respiratory distress syndrome;387;0.010451970917104423;8.60798278849422e+33;0
12;growth factor;168;0.005070996060909724;2.3911362475233254e+20;2
13;dna replication;203;0.005917962686873738;8.935924446573776e+22;1
14;confounding factors;169;0.005091684710712148;2.0337747615412453e+26;3
15;millimole per liter;18;0.0014807456196437216;0.00031295722494752154;4
16;serum;116;0.0037852882786547;5.675216812531995;1
17;thrombophilia;165;0.0050003144018664035;0.09821630838786859;0
18;oral cavity;281;0.007863859854012866;1337506.4817948928;0
19;neutrophil;184;0.005632844893185293;11643874.667379271;4
20;interleukin 1 beta measurement;203;0.005917962686873737;82813412186492.4;1
21;leukopenia;77;0.002852825302989654;492257241516.0094;4
22;viral infection;302;0.008387398714877635;0.004392252418247336;4
23;inflammation;397;0.01070681412984031;2729603378009314.0;0
24;glucose metabolism disorder;232;0.006651254749364768;2.264652714616576e+21;0
25;pulmonary;305;0.008458799224300532;5650.243268156544;2
26;death;418;0.011263205566893128;3.401712055947312e+24;0
27;hyperglycemia;379;0.010480050254872194;2.583179752315974e+17;4
28;insulin;309;0.00857426855004057;682343206779168.2;0
29;chemokine;204;0.0059825542413362845;3.254046458923045e+27;3
30;glucose;458;0.012466259828608597;4.5654066335800697e+21;4
31;lung;418;0.011252502599118546;80068710084.29437;0
32;sulfonylurea antidiabetic agent;168;0.005070996060909724;0.8827733910361042;2
33;middle east respiratory syndrome;267;0.007540589528335316;2196035593.1428814;2
34;lower respiratory tract infection;215;0.00623452099412868;146406460771.55;0
